RegionName,RegionType,StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
"Chattanooga, TN",Msa,TN,131027.58,126555.67,122633.58,126975.50,133121.25,136181.42,142737.75,153051.00,161906.58,172881.58,
"Spokane, WA",Msa,WA,183935.33,169861.17,166976.58,170257.00,174660.50,183097.25,198196.50,217313.42,241737.58,266085.33,
"Provo, UT",Msa,UT,227120.25,207761.83,212622.00,239057.50,253719.67,267480.92,288115.92,309366.25,339195.58,363141.67,
"Lancaster, PA",Msa,PA,199844.92,190634.92,187516.25,187854.00,192277.33,194821.50,201045.67,209420.92,224432.50,232042.42,
"Modesto, CA",Msa,CA,156052.92,146575.92,145986.33,183014.92,227311.33,241680.33,264177.75,286355.08,311578.33,325406.42,
"Portland, ME",Msa,ME,240983.17,235966.67,232060.33,240410.08,243907.75,248638.17,262551.83,279924.00,298492.33,310985.58,
"Durham, NC",Msa,NC,206901.33,197668.17,189922.92,197108.17,204370.42,210512.33,221122.50,235607.67,253567.42,269329.17,
"Santa Rosa, CA",Msa,CA,394906.58,362282.25,350558.67,419990.92,484811.25,520578.08,562088.42,602831.08,656857.92,637862.50,
"Lexington, KY",Msa,KY,155121.50,150824.08,149101.83,152506.00,154244.92,159925.17,164798.25,174823.50,184625.67,192232.67,
"Lafayette, LA",Msa,LA,137768.83,135778.92,133337.17,138638.83,142763.08,147472.17,150279.00,153723.58,155570.33,158529.42,
"Lansing, MI",Msa,MI,117006.33,111614.33,111379.25,117074.08,125564.75,129892.50,136179.58,145111.67,154761.92,163145.00,
"Fayetteville, AR",Msa,AR,142922.08,133293.50,136051.92,142967.92,149245.08,154347.67,162442.92,172497.75,183951.83,192856.42,
"Pensacola, FL",Msa,FL,145078.25,132836.83,129217.25,135160.17,140312.00,145239.17,151399.58,162974.17,175072.75,185840.25,
"Visalia, CA",Msa,CA,148820.00,131963.75,129005.67,153072.58,168007.58,177045.75,189346.00,199205.33,215261.50,223647.50,
"Shreveport, LA",Msa,LA,118374.67,119364.67,120715.92,118700.33,115855.92,113597.92,114863.83,116327.00,117335.83,115591.17,
"Springfield, MO",Msa,MO,122915.67,116161.75,115522.33,118977.17,123687.58,125477.42,130546.83,136775.00,145811.08,155314.42,
"York, PA",Msa,PA,181253.33,167853.67,161205.83,161337.83,164319.83,167470.50,171070.75,177481.83,184253.58,191587.67,
"Corpus Christi, TX",Msa,TX,126986.92,123439.00,124581.17,128013.50,134765.83,144568.50,151608.17,157189.17,160049.75,162636.92,
"Flint, MI",Msa,MI,91306.42,75580.17,73860.50,75135.75,84979.17,93120.00,97607.33,106535.92,115328.50,124596.50,
"Reno, NV",Msa,NV,195603.83,174391.25,168491.83,210288.58,244178.67,273306.33,302863.58,327176.08,364062.92,383220.00,
"Asheville, NC",Msa,NC,202140.58,193938.33,188331.33,191251.50,199601.42,209927.25,222751.00,242756.00,261769.67,273117.00,
"Port St. Lucie, FL",Msa,FL,131589.33,125236.33,125583.17,137343.67,156633.25,173175.58,194803.83,211718.58,228048.42,238893.75,
"Santa Maria-Santa Barbara, CA",Msa,CA,473269.83,425352.42,403187.17,473075.58,537863.75,560022.75,581849.75,598982.00,627760.17,640580.08,
"Huntsville, AL",Msa,AL,155691.50,164228.58,160223.92,159440.67,160715.17,162024.67,165735.42,169676.58,178940.33,187121.00,
"Fort Wayne, IN",Msa,IN,109021.25,106739.83,106133.50,107662.50,110407.92,114083.50,118508.42,127073.08,135338.67,146515.33,
"Salinas, CA",Msa,CA,349186.83,324810.58,322250.83,378142.75,451944.75,470912.08,510380.58,543122.75,573973.92,600003.33,
"Vallejo, CA",Msa,CA,235603.42,218573.92,209015.75,262144.42,324071.00,348448.00,376488.08,407143.67,442312.50,453819.17,
"Mobile, AL",Msa,AL,126601.17,111640.50,104733.25,105131.83,105480.58,107116.42,110647.58,115437.83,120096.75,125146.50,
"Reading, PA",Msa,PA,172396.83,161479.50,155460.17,156878.08,158257.08,160263.42,162905.75,168840.25,181493.92,187401.92,
"Brownsville, TX",Msa,TX,96022.25,92617.25,91535.75,90791.83,90944.42,94494.58,94620.58,97824.83,100070.67,102888.83,
"Killeen, TX",Msa,TX,129777.67,127076.17,125777.25,125723.33,127849.67,132591.00,136222.50,141533.75,149015.17,156383.00,
"Canton, OH",Msa,OH,113132.58,104929.08,102911.33,105925.17,106739.75,110221.08,115405.25,118958.33,126011.83,134094.92,
"Beaumont, TX",Msa,TX,100191.83,98570.17,97993.00,102872.08,109066.00,114839.00,119252.08,121512.42,124986.42,130416.67,
"Manchester, NH",Msa,NH,240385.92,227024.42,218780.50,227980.33,236623.00,247507.00,256371.17,272422.42,290539.25,302314.08,
"Salem, OR",Msa,OR,198197.58,180619.33,172158.17,180273.42,195730.67,211437.92,233029.42,260344.17,290928.00,311429.92,
"Anchorage, AK",Msa,AK,268367.08,263327.25,267777.42,275401.83,285478.08,295005.33,299560.75,298152.75,299290.25,317350.83,
"Davenport, IL",Msa,IL,115037.83,111606.83,110255.75,112709.08,116385.83,118088.75,120643.67,124118.67,128609.33,131827.25,
"Peoria, IL",Msa,IL,118950.67,115149.75,112970.67,112884.25,114912.00,115818.75,115686.08,114913.75,114808.58,114005.58,
"Myrtle Beach, SC",Msa,SC,183217.92,167918.33,164692.58,166335.42,175507.08,179747.67,185038.17,190599.92,201443.92,209879.58,
"Montgomery, AL",Msa,AL,132793.33,127858.08,123958.75,126342.58,126302.42,127908.08,127457.42,130461.42,132207.00,135974.25,
"Salisbury, MD",Msa,DE,248605.50,231074.83,222061.58,228482.42,230578.75,234028.33,235369.67,240653.50,251647.92,257612.33,
"Gulfport, MS",Msa,MS,134869.33,132475.25,123593.75,116451.67,116555.00,119612.33,123455.33,128869.33,134609.08,139604.92,
"Tallahassee, FL",Msa,FL,147652.92,134745.75,129690.75,134963.25,141123.33,145698.50,152451.75,162045.50,172037.00,178710.58,
"Trenton, NJ",Msa,NJ,263901.58,240888.67,224753.58,228896.33,234094.58,236202.33,236504.00,238094.33,247854.33,254682.33,
"Fayetteville, NC",Msa,NC,131660.00,130648.17,125676.75,122397.92,122817.25,120663.42,120333.25,123525.08,126061.08,131658.75,
"Hickory, NC",Msa,NC,125147.92,120328.92,117635.75,117939.42,119854.75,122495.33,127876.67,134424.83,143739.08,153532.08,
"Huntington, WV",Msa,WV,82938.42,83041.75,83879.92,84965.17,87079.00,89678.50,92389.08,95887.17,99788.33,103476.67,
"Eugene, OR",Msa,OR,222341.42,201071.25,196164.58,205782.75,219617.75,227262.92,244890.25,266369.42,289839.42,308533.00,
"Rockford, IL",Msa,IL,112237.50,106432.42,100594.92,99488.83,97635.33,100968.17,105638.25,111802.42,116582.67,121563.83,
"Savannah, GA",Msa,GA,167899.33,156820.92,150911.17,155237.75,162525.33,169134.92,175819.08,180901.17,191216.83,200088.33,
"Ann Arbor, MI",Msa,MI,188093.25,183706.58,187945.67,206028.58,230018.50,239745.58,254119.42,270694.92,290930.08,305900.42,
